trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.995}",25,0,-136.07622794636762,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
2,False,"{'a': 0.8, 'e': 0.990025}",25,0,-89.55667031863429,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.8, 'e': 0.985074875}",35,16,-46.82130202007852,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 1}",1
4,False,"{'a': 0.8, 'e': 0.9801495006250001}",25,0,-88.04188393577768,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.8, 'e': 0.9752487531218751}",25,0,-217.2400179520674,"{0: 10, 1: 4, 2: 7, 3: 1, 4: 3}",0
6,False,"{'a': 0.8, 'e': 0.9703725093562657}",30,0,-196.12695501644427,"{0: 15, 1: 3, 2: 8, 3: 2, 4: 2}",0
7,False,"{'a': 0.8, 'e': 0.9655206468094844}",30,0,-119.8566819411709,"{0: 21, 1: 1, 2: 4, 3: 3, 4: 1}",0
8,False,"{'a': 0.8, 'e': 0.960693043575437}",25,11,-11.699797942851418,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.8, 'e': 0.9558895783575597}",25,7,-76.89493006541667,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 1}",1
10,False,"{'a': 0.8, 'e': 0.9511101304657719}",20,0,-100.99662358965566,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.8, 'e': 0.946354579813443}",25,0,-152.2347433430138,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
12,False,"{'a': 0.8, 'e': 0.9416228069143757}",20,0,-159.8996475053559,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
13,False,"{'a': 0.8, 'e': 0.9369146928798039}",35,0,-147.08339799239556,"{0: 23, 1: 3, 2: 6, 3: 1, 4: 2}",0
14,False,"{'a': 0.8, 'e': 0.9322301194154049}",25,0,-119.53852333156497,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
15,False,"{'a': 0.8, 'e': 0.9275689688183278}",30,10,-79.47095476713407,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",1
16,False,"{'a': 0.8, 'e': 0.9229311239742362}",25,0,-80.5797276201484,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
