trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.43089354740624,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-228.77428191303594,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 5}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-214.37901541283372,"{0: 11, 1: 4, 2: 5, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-7.567880314042964,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-95.67863731412042,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-92.50442288243296,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-204.36337552287847,"{0: 11, 1: 5, 2: 5, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.53028642032477,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-7.3137860310296965,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-207.40457451210727,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 4}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.66445556628113,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-75.76441590903201,"{0: 19, 1: 2, 2: 9, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-152.97726298496056,"{0: 23, 1: 0, 2: 1, 3: 3, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.77464075330657,"{0: 11, 1: 4, 2: 2, 3: 3, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-291.8720883075846,"{0: 13, 1: 2, 2: 8, 3: 3, 4: 4}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.97074137661754,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-57.477732714739226,"{0: 16, 1: 6, 2: 2, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-249.7241941842693,"{0: 17, 1: 0, 2: 7, 3: 2, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-221.71449721521807,"{0: 10, 1: 1, 2: 3, 3: 2, 4: 4}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-51.087251405419735,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-144.88977539501718,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-224.34024936519404,"{0: 13, 1: 6, 2: 7, 3: 1, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-123.9133188321998,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,5,-134.36026677515613,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",1
5,True,"{'a': 0.5, 'e': 1.0}",35,0,-116.39518642670058,"{0: 25, 1: 2, 2: 6, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-51.118557246255875,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",35,0,-170.6772009634297,"{0: 18, 1: 5, 2: 9, 3: 2, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-82.96499646989642,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-79.06967487548329,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-88.37810979501351,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
